ocid,titre,organisme,nb_signaux,signaux,montant,url_seao
ocds-ec9k95-1416521,Honoraires professionnels en ingénierie - Réaménagement de la buanderie au Centre multiservices de santé et de services sociaux Saint-Joseph,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec (CIUSSS MCQ),3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",158996.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=db485897-cad8-475d-9da1-f257cf7d0da3
ocds-ec9k95-1447466,027-027-43734 - École Hubert-Perron - Remplacement du système d'alarme incendie,Centre de services scolaire Marie-Victorin,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",149777.77,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=1c26417e-b04a-423b-ab80-ad08ce9c3f15
ocds-ec9k95-20074708,Achat d'animaux,Université de Montréal,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",133080.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=9fe0d557-d5ab-4fa4-af50-317a41088160
ocds-ec9k95-1416503,Honoraires professionnels en architecture- Réaménagement de la buanderie au Centre multiservices de santé et de services sociaux Saint-Joseph,Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec (CIUSSS MCQ),3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",130000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=d07737af-70d4-4b8c-b59b-ab09bcb42d6f
ocds-ec9k95-1384287,Élaboration de concepts et fabrication de structures et d’affichage pour la mise en place du programme de mesures sanitaires ,Société du Palais des Congrès de Montréal,3,"AVENANTS_SERIE,DEPASSEMENT,SOUM_UNIQUE",126536.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=f78f161f-abbd-48eb-ae2c-9bdf136cac47
ocds-ec9k95-1664743,Surveillance de chantier,Société québécoise des infrastructures,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",121000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=725c362e-590f-4e7d-a7dd-270cba4d8c63
ocds-ec9k95-1756985,Decomtamination and decommissioning equipment,Université Concordia,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",121000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=a4857b9c-4991-4db1-9c29-2e672083b3fc
ocds-ec9k95-1704710,Tests hors Québec pour génétique,Centre intégré universitaire de santé et de services sociaux de l'Estrie - Centre Hospitalier Universitaire de Sherbrooke - CHUS,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",117300.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=89c04b55-911f-49e5-b274-1b487c7dceb0
ocds-ec9k95-1729311,Rédacteur d’appel d’offres public,La Financière agricole du Québec,3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",115000.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=ffed19d9-742d-4e28-9845-b15196958812
ocds-ec9k95-20005135,"Réfection de la passerelle au 800, boulevard des Bois-Francs à Victoriaville","SQI-Direction immobilière Mauricie, Centre-du-Québec",3,"AVENANTS_SERIE,DEPASSEMENT,GRE_A_GRE",112014.0,https://seao.gouv.qc.ca/avis-resultat-recherche/consulter?ItemId=d8207780-2ec1-41b3-8142-9e93dacfdd93
